Sample	MorpV	Sanger	Phylum	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Genus	Species	Feeding.Group	cp.value	SSU.nema.data	SSU.nema.qual	Sample.Type	Experiment	Sample.Control	Sample.Site	Habitat	QubitConc	Latitude	Longitude	Elevation	pH	N	P	K	OM	OC	Sand	Silt	Clay	BD	Soil.Type	Description		
SK.1.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.01	Coastal.scrub	1.9400	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	SK.1.1.Baerm.Coastal.scrub1		
SK.1.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.01	Coastal.scrub	4.1400	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	SK.1.2.Baerm.Coastal.scrub1		
SK.1.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.01	Coastal.scrub	0.5560	33.601967	-117.026633	1272	5.88	4.28	8.40	117.00	1.70	0.99	74.00	15.00	11.00	1.34	Compact.Soil	SK.1.3.Baerm.Coastal.scrub1		
SK.2.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.02	Coastal.scrub	1.6800	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	SK.2.1.Baerm.Coastal.scrub2		
SK.2.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.02	Coastal.scrub	0.5340	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	SK.2.2.Baerm.Coastal.scrub2		
SK.2.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.02	Coastal.scrub	0.9080	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	SK.2.3.Baerm.Coastal.scrub2		
SK.3.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.03	Coastal.scrub	2.9800	33.602033	-117.026583	1367	6.19	5.27	7.50	94.00	2.12	1.23	67.00	19.00	14.00	1.40	Compact.Soil	SK.3.1.Baerm.Coastal.scrub3		
SK.3.2.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.03	Coastal.scrub	0.5420	33.602033	-117.026583	1367	6.19	5.27	7.50	94.00	2.12	1.23	67.00	19.00	14.00	1.40	Compact.Soil	SK.3.2.Baerm.Coastal.scrub3		
SK.3.3.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.03	Coastal.scrub	0.6260	33.602033	-117.026583	1367	6.19	5.27	7.50	94.00	2.12	1.23	67.00	19.00	14.00	1.40	Compact.Soil	SK.3.3.Baerm.Coastal.scrub3		
SK.4.1.Baerm	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	no.data	Baermann	Environment	True.Sample	SK.04	Riparian	20.8000	33.602817	-117.027633	1411	7.37	36.87	18.10	553.00	4.65	2.70	75.42	18.30	6.28	0.98	Not.Compact.Soil	SK.4.1.Baerm.Riparian1		
