Sample	MorpV	Sanger	Phylum	Class	Subclass	Order	Suborder	Infraorder	Superfamily	Family	Subfamily	Genus	Species	Feeding.Group	cp.value	SSU.nema.data	SSU.nema.qual	Sample.Type	Experiment	Sample.Control	Sample.Site	Habitat	QubitConc	Latitude	Longitude	Elevation	pH	N	P	K	OM	OC	Sand	Silt	Clay	BD	Soil.Type	Description
Nem.1	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchoididae	Aphelenchoidinae	Aphelenchoides	Aphelenchoides sp.	Fungivores	2	included	Bad	SingleWorm	Microbiome	True.Sample	SK.16	Chaparral	1.8120	33.620883	-117.0186	1840	7.01	5.72	16.20	236.00	3.58	2.08	64.00	22.00	14.00	1.20	Compact.Soil	Nem.1.SingleWorm.SK.16
Nem.101	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchidae	Aphelenchinae	Aphelenchus	Aphelenchus sp.	Fungivores	2	included	Bad	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.101.SingleWorm.SK.02
Nem.103	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Chiloplacus	Chiloplacus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.103.SingleWorm.SK.02
Nem.104	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchidae	Aphelenchinae	Aphelenchus	Aphelenchus sp.	Fungivores	2	included	Bad	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.104.SingleWorm.SK.02
Nem.105	Yes	No	Nematoda	Chromadorea	Chromadoria	Plectida	Plectina	Plectina infraorder	Plectoidea	Plectidae	Plectinae	Plectus	Plectus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.105.SingleWorm.SK.02
Nem.106	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Acrobeloides	Acrobeloides sp.	Bacterivores 	2	not.included	not.available	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.106.SingleWorm.SK.02
Nem.107	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchidae	Aphelenchinae	Aphelenchus	Aphelenchus sp.	Fungivores	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.107.SingleWorm.SK.02
Nem.108	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Tylenchoidea	Tylenchidae	Tylenchinae	Filenchus	Filenchus sp.	Fungivores	2	included	Bad	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1220	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.108.SingleWorm.SK.02
Nem.109	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Acrobeloides	Acrobeloides sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.2080	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.109.SingleWorm.SK.02
Nem.11	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Cervidellus	Cervidellus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.16	Chaparral	1.7700	33.620883	-117.0186	1840	7.01	5.72	16.20	236.00	3.58	2.08	64.00	22.00	14.00	1.20	Compact.Soil	Nem.11.SingleWorm.SK.16
Nem.110	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Tylenchoidea	Tylenchidae	Boleodorinae	Psilenchus	Psilenchus sp.	Herbivores	P-p2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1360	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.110.SingleWorm.SK.02
Nem.111	Yes	No	Nematoda	Enoplea	Dorylaimia	Dorylaimida	Dorylaimina	Dorylaimina infraorder	Dorylaimoidea	Aporcelaimidae	Aporcelaiminae	Aporcelaimellus	Aporcelaimellus sp.	Predator	5	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1640	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.111.SingleWorm.SK.02
Nem.112	Yes	No	Nematoda	Enoplea	Dorylaimia	Dorylaimida	Dorylaimina	Dorylaimina infraorder	Dorylaimoidea	Aporcelaimidae	Aporcelaiminae	Aporcelaimellus	Aporcelaimellus sp.	Predator	5	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.112.SingleWorm.SK.02
Nem.113	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Acrobeloides	Acrobeloides sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.0001	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.113.SingleWorm.SK.02
Nem.114	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Chiloplacus	Chiloplacus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1420	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.114.SingleWorm.SK.02
Nem.115	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Chiloplacus	Chiloplacus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1180	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.115.SingleWorm.SK.02
Nem.116	Yes	No	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Acrobeloides	Acrobeloides sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1320	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.116.SingleWorm.SK.02
Nem.117	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Tylenchomorpha	Aphelenchoidea	Aphelenchidae	Aphelenchinae	Aphelenchus	Aphelenchus sp.	Fungivores	2	included	Bad	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1620	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.117.SingleWorm.SK.02
Nem.118	Yes	Yes	Nematoda	Chromadorea	Chromadoria	Rhabditida	Tylenchina	Cephalobomorpha	Cephaloboidea	Cephalobidae	Cephalobinae	Chiloplacus	Chiloplacus sp.	Bacterivores 	2	included	Good	SingleWorm	Microbiome	True.Sample	SK.02	Coastal.scrub	0.1020	33.601967	-117.026633	1331	5.95	5.52	5.90	164.00	2.20	1.28	61.60	24.20	14.20	1.33	Compact.Soil	Nem.118.SingleWorm.SK.02
